"","Target_Audience","Pre_Workshop_Training","Using_Software_Other_In_Org","Used_Jmol_before","Concept_Difficulty_without_3DViewer","Jmol_Usefulness_For_Concepts","Jmol_Difficulty_For_Teaching","D_Visualization_Interesting","Jmol_Useful_Assessing_Students","ST_Introduction_to_Jmol_Application","ST_Create_and_Edit_Molecular_Models","ST_Modify_Display_and_View","ST_Measurements_and_Labeling","ST_Script_Console_and_Script_Commands","ST_Surfaces_and_Orbitals","ST_Crystal_Structure_and_Unit_Cell","A1_Introduction_to_Jmol_Application","A2_Create_and_Edit_Molecular_Models","A3_Modify_Display_and_View","A4_Measurements_and_Labelling","A5_Script_Console_and_Script_Commands","A6_Surfaces_and_Orbitals","A7_Crystal_Structure_and_Unitcell","Jmol_3D_Modelling_Knowledge_Before","Jmol_3D_Modelling_Knowledge_After","Jmol_3D_Model_Create_Edit_Knowledge_Before","Jmol_3D_Model_Create_Edit_Knowledge_After","Jmol_Bond_Measure_Knowledge_Before","Jmol_Bond_Measure_Knowledge_After","Jmol_Orbital_Create_Knowledge_Before","Jmol_Orbital_Create_Knowledge_After","Jmol_CenterAxis_Knowledge_Before","Jmol_CenterAxis_Knowledge_After","Jmol_PointGroups_Knowledge_Before","Jmol_PointGroups_Knowledge_After","Jmol_Script_Cmd_3D_Knowledge_Before","Jmol_Script_Cmd_3D_Knowledge_After","Jmol_Crystal_Knowledge_Before","Jmol_Crystal_Knowledge_After","Quality_instructional_material","Self_learning_experience","Spoken_Tutorial_Forum_experience","Online_discussion_session","Interaction_with_Teaching_Assistant","Quality_Workshop","New_Knowledge","Unhappy_Format","Willing_Participate_Activities","Not_Learn_Much","Will_Recommend"
"1","Student","0 days","No","No","Very difficult","Yes","Easy","Yes","Yes","1","1","1","1","1","2","3","2","1","1","2","1","2","2","Amateur","Competent","Unaware","Proficient","Competent","Proficient","Novice","Proficient","Unaware","Amateur","Amateur","Competent","Unaware","Proficient","Slightly Confident","Confident","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Strongly Agree","Disagree","Agree","Strongly Disagree","Strongly Disagree"
"2","Student","0 days","Yes","No","Difficult","Yes","Easy","Yes","Yes","1","1","1","1","1","1","1","1","1","1","1","1","3","3","Unaware","Proficient","Unaware","Proficient","Unaware","Proficient","Unaware","Competent","Unaware","Competent","Unaware","Competent","Unaware","Competent","Slightly Confident","Confident","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree"
"3","Student","0 days","No","No","Very difficult","Yes","Easy","Yes","Yes","1","1","2","2","3","3","2","1","1","2","2","3","4","4","Unaware","Competent","Unaware","Amateur","Unaware","Competent","Unaware","Competent","Unaware","Amateur","Unaware","Competent","Unaware","Competent","Not Applicable","Confident","Excellent","Good","Excellent","Excellent","Good","Excellent","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Agree"
"4","Teaching Faculty","0 days","No","No","Very difficult","Yes","Easy","Yes","May be","5","5","5","5","5","5","5","4","4","4","4","4","4","4","Unaware","Competent","Unaware","Amateur","Unaware","Amateur","Unaware","Amateur","Unaware","Amateur","Unaware","Amateur","Unaware","Amateur","Not Applicable","Somewhat confident","Good","Good","Excellent","Good","Excellent","Good","Agree","Disagree","Agree","Disagree","Agree"
"5","Teaching Faculty","0 days","No","No","Very difficult","Yes","Difficult","Yes","May be","1","2","4","4","5","5","5","3","4","3","4","5","5","5","Unaware","Proficient","Unaware","Proficient","Unaware","Proficient","Unaware","Proficient","Unaware","Competent","Unaware","Competent","Unaware","Amateur","Not at all Confident","Somewhat confident","Good","Good","Good","Good","Extremely bad","Good","Agree","Strongly Agree","Agree","Strongly Disagree","Agree"
"6","Teaching Faculty","0 days","Yes","Yes","Very difficult","Yes","Easy","Yes","Yes","2","2","1","3","3","2","2","1","1","1","1","2","2","3","Amateur","Proficient","Amateur","Proficient","Amateur","Proficient","Amateur","Proficient","Amateur","Competent","Unaware","Competent","Unaware","Competent","Not at all Confident","Confident","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Strongly Agree","Neither Disagree Nor Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"7","Student","0 days","Not Sure","No","Very difficult","Yes","Easy","Yes","Yes","2","3","2","3","1","4","1","2","3","3","3","1","3","1","Unaware","Proficient","Unaware","Competent","Unaware","Competent","Unaware","Competent","Unaware","Competent","Unaware","Competent","Unaware","Proficient","Not Applicable","Somewhat confident","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree"
"8","Student","2-4 days","Yes","No","Difficult","Yes","Easy","Yes","Yes","2","2","3","3","4","3","4","2","2","3","3","4","4","4","Amateur","Competent","Amateur","Competent","Amateur","Competent","Amateur","Competent","Amateur","Competent","Amateur","Competent","Amateur","Competent","Not at all Confident","Confident","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree"
"9","Teaching Faculty","0 days","No","No","Difficult","Yes","Easy","Yes","May be","3","3","3","3","Not Attempted","Not Attempted","Not Attempted","3","3","3","3","Not Attempted","Not Attempted","Not Attempted","Unaware","Competent","Unaware","Competent","Unaware","Competent","Unaware","Novice","Unaware","Novice","Unaware","Unaware","Unaware","Unaware","Not Applicable","Slightly Confident","Excellent","Excellent","Good","Good","Acceptable","Good","Strongly Agree","Disagree","Agree","Disagree","Agree"
"10","Student","0 days","Not Sure","No","Difficult","Yes","Not sure","Yes","May be","1","2","2","2","2","2","2","1","1","1","2","3","2","1","Unaware","Amateur","Unaware","Amateur","Unaware","Amateur","Unaware","Novice","Unaware","Novice","Unaware","Unaware","Unaware","Unaware","Not Applicable","Somewhat confident","Good","Excellent","Good","Good","Good","Good","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree"
