"","Target_Audience","Pre_Workshop_Training","Using_Software_Other_In_Org","Used_Jmol_before","Concept_Difficulty_without_3DViewer","Jmol_Usefulness_For_Concepts","Jmol_Difficulty_For_Teaching","D_Visualization_Interesting","Jmol_Useful_Assessing_Students","ST_Introduction_to_Jmol_Application","ST_Create_and_Edit_Molecular_Models","ST_Modify_Display_and_View","ST_Measurements_and_Labeling","ST_Script_Console_and_Script_Commands","ST_Surfaces_and_Orbitals","ST_Crystal_Structure_and_Unit_Cell","A1_Introduction_to_Jmol_Application","A2_Create_and_Edit_Molecular_Models","A3_Modify_Display_and_View","A4_Measurements_and_Labelling","A5_Script_Console_and_Script_Commands","A6_Surfaces_and_Orbitals","A7_Crystal_Structure_and_Unitcell","Jmol_3D_Modelling_Knowledge_Before","Jmol_3D_Modelling_Knowledge_After","Jmol_3D_Model_Create_Edit_Knowledge_Before","Jmol_3D_Model_Create_Edit_Knowledge_After","Jmol_Bond_Measure_Knowledge_Before","Jmol_Bond_Measure_Knowledge_After","Jmol_Orbital_Create_Knowledge_Before","Jmol_Orbital_Create_Knowledge_After","Jmol_CenterAxis_Knowledge_Before","Jmol_CenterAxis_Knowledge_After","Jmol_PointGroups_Knowledge_Before","Jmol_PointGroups_Knowledge_After","Jmol_Script_Cmd_3D_Knowledge_Before","Jmol_Script_Cmd_3D_Knowledge_After","Jmol_Crystal_Knowledge_Before","Jmol_Crystal_Knowledge_After","Quality_instructional_material","Self_learning_experience","Spoken_Tutorial_Forum_experience","Online_discussion_session","Interaction_with_Teaching_Assistant","Quality_Workshop","New_Knowledge","Unhappy_Format","Willing_Participate_Activities","Not_Learn_Much","Will_Recommend"
"1",1,2,3,1,5,5,4,5,5,5,5,5,5,5,4,3,2,1,1,2,1,2,2,3,4,1,5,4,5,2,5,1,3,3,4,1,5,3,5,6,6,6,5,6,6,5,4,4,5,1
"2",1,2,5,1,4,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,3,3,1,5,1,5,1,5,1,4,1,4,1,4,1,4,3,5,6,6,6,6,6,6,5,5,5,5,5
"3",1,2,3,1,5,5,4,5,5,5,5,4,4,3,3,4,1,1,2,2,3,4,4,1,4,1,3,1,4,1,4,1,3,1,4,1,4,1,5,6,5,6,6,5,6,5,1,4,5,4
"4",5,2,3,1,5,5,4,5,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,4,5,5,6,5,6,5,4,4,4,4,4
"5",1,2,5,1,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,5,4,5,4,5,4,5,4,5,4,5,5,6,6,6,6,6,5,1,5,1,5
"6",5,2,3,1,5,5,2,5,3,5,4,4,4,5,5,5,3,4,3,4,5,5,5,1,5,1,5,1,5,1,5,1,4,1,4,1,3,2,4,5,5,5,5,1,5,4,1,4,5,4
"7",5,2,5,5,5,5,4,5,5,4,4,5,3,3,4,4,1,1,1,1,2,2,3,3,5,3,5,3,5,3,5,3,4,1,4,1,4,2,5,6,6,6,5,6,6,5,3,5,5,5
"8",1,2,1,1,5,5,4,5,5,4,3,4,3,5,4,5,2,3,3,3,1,3,1,1,5,1,4,1,4,1,4,1,4,1,4,1,5,1,4,6,6,6,6,6,6,5,4,5,5,5
"9",1,3,5,1,4,5,4,5,5,4,4,3,3,4,3,4,2,2,3,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,5,6,6,6,6,6,6,5,5,5,5,5
"10",5,2,3,1,4,5,4,5,3,3,3,3,3,1,1,1,3,3,3,3,1,1,1,1,4,1,4,1,4,1,2,1,2,1,1,1,1,1,3,6,6,5,5,4,5,5,4,4,4,4
