"","Jmol_3D_Modelling_Knowledge_Before","Jmol_3D_Modelling_Knowledge_After","Jmol_3D_Model_Create_Edit_Knowledge_Before","Jmol_3D_Model_Create_Edit_Knowledge_After","Jmol_Bond_Measure_Knowledge_Before","Jmol_Bond_Measure_Knowledge_After","Jmol_Orbital_Create_Knowledge_Before","Jmol_Orbital_Create_Knowledge_After","Jmol_CenterAxis_Knowledge_Before","Jmol_CenterAxis_Knowledge_After","Jmol_PointGroups_Knowledge_Before","Jmol_PointGroups_Knowledge_After","Jmol_Script_Cmd_3D_Knowledge_Before","Jmol_Script_Cmd_3D_Knowledge_After","Jmol_Crystal_Knowledge_Before","Jmol_Crystal_Knowledge_After"
"1",3,4,1,5,4,5,2,5,1,3,3,4,1,5,3,5
"2",1,5,1,5,1,5,1,4,1,4,1,4,1,4,3,5
"3",1,4,1,3,1,4,1,4,1,3,1,4,1,4,3,5
"4",1,4,1,3,1,3,1,3,1,3,1,3,1,3,3,4
"5",1,5,1,5,1,5,1,5,1,4,1,4,1,3,2,4
"6",3,5,3,5,3,5,3,5,3,4,1,4,1,4,2,5
"7",1,5,1,4,1,4,1,4,1,4,1,4,1,5,3,4
"8",3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,5
"9",1,4,1,4,1,4,1,2,1,2,1,1,1,1,3,3
"10",1,3,1,3,1,3,1,2,1,2,1,1,1,1,3,4
"11",1,4,1,4,1,5,1,4,1,3,1,4,1,4,3,5
"12",1,6,1,5,1,6,1,4,1,6,1,6,1,4,4,6
"13",1,4,2,4,1,5,1,4,1,3,1,4,1,4,3,3
"14",1,5,1,5,1,5,1,5,1,5,1,5,1,5,3,5
"15",2,4,3,4,2,4,3,4,2,4,3,4,3,4,2,4
"16",3,5,2,4,2,5,1,4,1,3,3,4,3,5,3,5
"17",1,4,1,3,1,3,1,3,1,4,1,3,1,4,3,3
"18",1,4,1,4,1,4,1,4,1,4,1,4,1,4,3,3
"19",2,5,2,5,2,5,2,6,2,5,3,5,3,5,3,6
"20",1,2,6,6,6,6,6,6,6,6,6,6,5,5,5,5
"21",1,5,1,5,1,5,1,4,1,4,1,4,1,5,3,4
"22",1,3,1,4,1,4,1,3,1,3,1,3,1,3,3,3
"23",1,5,1,5,1,4,1,5,1,4,3,4,1,6,3,4
"24",3,5,4,5,4,6,3,5,3,4,4,6,3,5,3,4
"25",1,4,1,4,1,5,1,5,1,3,1,4,1,5,2,3
"26",1,4,1,4,1,4,1,4,1,5,1,5,1,4,2,5
"27",3,5,3,5,1,5,1,5,1,4,1,5,1,5,3,5
"28",1,3,1,3,1,3,1,4,1,3,1,3,1,3,2,4
"29",2,4,2,4,2,5,2,5,2,4,1,4,1,4,3,4
"30",1,4,1,4,1,4,1,3,1,3,1,3,1,3,3,3
"31",1,2,1,3,1,3,1,3,1,3,1,3,1,3,3,3
"32",1,3,1,3,1,3,1,3,1,3,1,3,1,3,2,3
"33",1,4,1,4,1,4,1,4,1,4,1,4,1,3,3,3
"34",1,6,1,6,1,5,1,6,1,5,1,5,1,6,3,6
"35",1,3,1,2,1,2,1,3,1,2,1,3,1,3,3,3
"36",1,5,1,5,1,5,1,5,1,5,1,5,1,5,3,5
"37",2,4,2,4,3,4,3,5,3,4,4,5,3,4,3,5
"38",1,6,1,5,1,3,1,2,1,2,1,3,1,3,3,5
"39",1,3,2,4,1,4,1,3,1,1,1,1,1,3,3,3
"40",1,4,1,5,1,4,1,4,1,4,1,4,1,5,2,4
"41",2,4,2,4,2,4,2,4,2,4,1,4,1,4,4,5
"42",1,2,1,2,1,3,1,2,1,2,1,3,1,3,2,4
"43",1,4,1,3,2,4,1,4,1,1,1,1,1,3,3,3
"44",1,4,1,4,1,4,1,3,1,3,1,3,1,3,3,4
"45",1,3,1,3,1,4,1,3,1,3,1,3,1,3,3,4
"46",2,5,2,5,2,5,2,5,2,4,3,5,1,4,3,5
"47",1,4,1,3,1,4,1,4,1,4,1,4,1,4,3,3
"48",1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,3
"49",2,4,1,4,1,3,1,4,1,3,1,3,1,3,3,3
"50",3,4,2,4,4,4,3,4,3,4,3,4,3,4,3,4
"51",2,2,3,3,1,1,3,3,3,3,1,1,3,3,5,5
"52",1,3,1,3,2,3,2,3,1,3,1,4,1,3,3,3
