"","Target_Audience","Pre_Workshop_Training","Using_Software_Other_In_Org","Concept_Difficulty_without_3DViewer","Used_Jmol_before","Jmol_Usefulness_For_Concepts","Jmol_Difficulty_For_Teaching","D_Visualization_Interesting","Jmol_Useful_Assessing_Students","Quality_instructional_material","Self_learning_experience","Spoken_Tutorial_Forum_experience","Online_discussion_session","Interaction_with_Teaching_Assistant","Quality_Workshop","New_Knowledge","Unhappy_Format","Willing_Participate_Activities","Not_Learn_Much","Will_Recommend"
"1",1,2,1,5,1,5,4,5,5,6,6,6,5,6,6,5,4,4,5,1
"2",1,2,5,4,1,5,4,5,5,6,6,6,6,6,6,5,5,5,5,5
"3",1,2,1,5,1,5,4,5,5,6,5,6,6,5,6,5,1,4,5,4
"4",5,2,1,5,1,5,4,5,3,5,5,6,5,6,5,4,4,4,4,4
"5",5,2,1,5,1,5,2,5,3,5,5,5,5,1,5,4,1,4,5,4
"6",5,2,5,5,5,5,4,5,5,6,6,6,5,6,6,5,3,5,5,5
"7",1,2,3,5,1,5,4,5,5,6,6,6,6,6,6,5,4,5,5,5
"8",1,3,5,4,1,5,4,5,5,6,6,6,6,6,6,5,5,5,5,5
"9",5,2,1,4,1,5,4,5,3,6,6,5,5,4,5,5,4,4,4,4
"10",1,2,3,4,1,5,3,5,3,5,6,5,5,5,5,5,4,5,4,5
"11",5,2,1,5,1,5,2,5,5,6,6,6,6,6,6,5,5,1,5,5
"12",5,2,1,5,1,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5
"13",5,2,1,4,1,5,2,5,3,6,6,5,5,5,5,5,5,5,5,1
"14",1,2,1,4,1,5,2,5,5,5,5,5,5,5,5,5,4,5,4,5
"15",5,2,3,4,1,5,4,5,5,5,6,6,5,5,6,5,2,5,5,5
"16",1,2,5,4,1,5,2,5,5,6,4,4,5,2,5,5,3,4,4,5
"17",5,2,1,4,1,5,4,5,3,5,5,6,5,5,6,5,4,4,4,5
"18",5,2,1,4,1,5,4,5,5,6,6,6,6,6,6,5,5,4,5,5
"19",5,2,1,4,1,5,4,5,5,6,6,6,6,6,6,5,5,5,5,4
"20",1,2,1,4,1,5,4,5,5,6,6,4,6,6,6,5,4,4,3,4
"21",5,2,5,4,1,5,3,5,5,6,6,6,6,6,6,4,5,4,5,4
"22",5,2,3,4,1,3,4,5,3,4,5,5,5,5,5,4,4,4,4,4
"23",5,2,1,4,1,5,4,5,3,6,6,6,6,6,6,5,5,5,5,5
"24",5,2,1,4,1,5,2,5,3,6,6,6,5,6,6,5,5,5,4,5
"25",5,2,1,5,1,5,4,5,3,6,6,6,5,5,5,5,4,5,5,4
"26",5,2,1,4,1,5,4,5,5,6,6,6,6,5,6,5,5,5,4,5
"27",5,2,5,2,1,5,5,5,3,6,6,6,6,6,6,5,5,5,5,5
"28",5,2,1,4,1,5,4,5,5,6,6,5,6,6,6,5,5,5,5,5
"29",5,2,1,5,1,5,4,5,5,6,6,5,6,6,6,5,1,4,5,5
"30",5,2,1,5,1,5,4,5,5,6,6,6,6,6,6,5,4,4,4,4
"31",5,2,1,3,1,5,4,5,5,6,6,6,6,6,6,5,5,3,5,5
"32",5,2,1,4,1,5,3,5,3,6,6,6,6,6,6,5,4,4,4,4
"33",5,2,3,4,1,5,4,5,3,6,6,6,6,6,6,5,4,3,4,4
"34",5,2,1,5,1,5,4,5,3,6,6,6,6,6,6,5,5,5,5,5
"35",5,2,1,4,1,5,4,5,5,5,5,5,4,4,5,5,5,4,3,4
"36",5,2,1,5,1,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5
"37",5,2,1,4,1,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5
"38",5,2,1,4,1,5,4,5,5,5,5,6,5,6,6,5,1,4,4,4
"39",5,2,1,5,1,5,3,5,3,5,5,5,4,5,5,4,3,4,4,4
"40",5,2,1,5,1,5,3,5,5,6,5,6,6,6,6,5,1,4,5,5
"41",5,2,1,4,1,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5
"42",5,2,3,4,1,5,4,5,5,6,6,6,6,6,6,5,5,5,5,5
"43",5,2,1,4,1,5,4,5,3,5,6,5,5,4,5,5,4,4,4,5
"44",5,2,1,4,1,5,4,5,3,6,6,5,5,5,6,5,5,5,5,5
"45",5,2,1,4,1,5,3,5,3,6,5,6,5,5,6,5,5,4,4,5
"46",5,2,1,4,1,5,4,5,5,6,6,6,6,6,6,5,5,5,5,5
"47",1,2,5,4,1,5,4,5,5,6,6,5,5,6,5,4,5,4,5,5
"48",5,2,1,4,1,5,3,5,3,6,6,6,6,6,6,5,5,5,5,5
"49",5,2,1,4,1,5,4,5,3,5,6,3,5,5,5,5,5,4,4,4
"50",1,2,1,2,1,5,3,5,5,4,4,4,4,4,4,4,2,4,4,4
"51",1,2,1,5,5,3,4,3,1,5,5,5,2,2,3,4,3,3,4,5
"52",1,2,1,4,1,5,4,5,5,5,6,6,5,5,5,5,4,4,4,4
