"","ST_Introduction_to_Jmol_Application","ST_Create_and_Edit_Molecular_Models","ST_Modify_Display_and_View","ST_Measurements_and_Labeling","ST_Script_Console_and_Script_Commands","ST_Surfaces_and_Orbitals","ST_Crystal_Structure_and_Unit_Cell","A1_Introduction_to_Jmol_Application","A2_Create_and_Edit_Molecular_Models","A3_Modify_Display_and_View","A4_Measurements_and_Labelling","A5_Script_Console_and_Script_Commands","A6_Surfaces_and_Orbitals","A7_Crystal_Structure_and_Unitcell"
"1",5,5,5,5,5,4,3,2,1,1,2,1,2,2
"2",5,5,5,5,5,5,5,1,1,1,1,1,3,3
"3",5,5,4,4,3,3,4,1,1,2,2,3,4,4
"4",5,5,5,5,5,5,5,4,4,4,4,4,4,4
"5",5,4,4,4,5,5,5,3,4,3,4,5,5,5
"6",4,4,5,3,3,4,4,1,1,1,1,2,2,3
"7",4,3,4,3,5,4,5,2,3,3,3,1,3,1
"8",4,4,3,3,4,3,4,2,2,3,3,4,4,4
"9",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"10",5,4,4,4,4,4,4,1,1,1,2,3,2,1
"11",5,5,5,5,4,5,5,1,1,1,3,4,3,4
"12",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"13",5,4,4,5,5,4,4,1,3,4,4,4,3,2
"14",3,3,3,3,3,3,3,2,2,2,3,3,4,4
"15",5,4,5,5,4,4,4,2,1,1,2,2,2,2
"16",5,5,5,4,4,3,3,1,2,2,1,3,3,5
"17",3,4,3,4,4,4,4,2,3,3,4,4,3,3
"18",5,5,5,3,3,4,4,1,2,2,3,4,5,5
"19",5,5,5,5,5,4,4,3,4,5,5,5,5,5
"20",5,3,3,5,5,5,5,1,3,3,5,5,5,5
"21",5,4,4,4,4,4,5,1,2,2,2,4,3,4
"22",3,3,3,3,3,3,3,3,3,3,3,3,4,3
"23",5,5,5,5,5,5,3,1,1,1,1,1,1,3
"24",4,5,4,4,4,5,4,2,1,2,2,2,1,2
"25",5,5,5,4,5,4,3,4,4,4,5,5,5,3
"26",5,5,5,4,4,3,3,1,1,1,3,3,4,3
"27",5,5,5,5,4,5,5,1,1,1,1,2,1,1
"28",5,5,5,4,3,4,4,1,1,1,2,3,3,2
"29",5,5,5,5,5,5,4,1,1,1,1,1,1,2
"30",5,5,5,4,4,4,5,1,1,2,4,5,4,2
"31",4,4,4,3,3,3,3,1,2,2,2,3,3,3
"32",5,5,4,4,3,3,3,1,1,2,2,3,3,3
"33",5,5,5,4,3,5,5,1,1,1,2,3,3,3
"34",5,5,5,4,5,5,4,1,1,1,2,1,1,2
"35",4,4,3,4,5,4,4,4,3,3,4,5,4,4
"36",5,5,5,5,3,3,4,1,1,1,1,1,1,1
"37",5,4,5,4,3,5,4,1,2,2,1,2,2,2
"38",5,4,5,3,4,5,5,1,1,1,2,3,1,1
"39",3,4,3,4,4,3,4,3,3,3,3,3,3,3
"40",4,4,5,4,5,5,4,1,1,1,2,1,2,2
"41",5,5,4,4,5,4,5,1,1,2,2,2,2,1
"42",5,5,5,5,5,4,4,1,1,1,1,1,3,4
"43",5,5,4,4,3,3,5,1,1,2,2,3,3,3
"44",3,5,4,4,3,4,4,3,2,2,4,3,3,4
"45",4,4,4,4,4,3,3,1,1,3,4,5,3,3
"46",5,5,5,4,4,5,5,5,5,5,4,5,5,4
"47",5,5,5,4,4,3,3,1,1,2,2,3,4,4
"48",5,5,5,5,5,5,5,2,2,2,3,2,3,3
"49",5,4,4,3,3,3,3,5,1,1,3,3,3,3
"50",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"51",4,4,4,4,4,4,4,1,1,1,1,1,1,3
"52",5,5,5,5,4,3,3,1,1,1,1,2,3,4
